log_price,property_type,room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,instant_bookable,number_of_reviews,review_scores_rating,bedrooms,beds,Chicago,DC,LA,NYC,SF
5.1298987149230735,0,2,7,1.0,1,1,1,6,93.0,3.0,3.0,0,0,0,1,0
4.976733742420574,0,2,5,1.0,3,1,1,10,92.0,1.0,3.0,0,0,0,1,0
4.442651256490317,0,1,2,1.0,1,1,1,3,100.0,1.0,1.0,0,0,0,0,1
4.787491742782046,10,2,2,1.0,3,1,0,9,93.0,1.0,1.0,0,0,1,0,0
4.787491742782046,16,1,2,1.0,3,1,0,159,99.0,1.0,1.0,0,0,0,0,1
4.605170185988092,0,1,2,1.0,1,1,0,82,93.0,1.0,1.0,0,0,0,1,0
4.59511985013459,25,1,2,2.0,1,1,0,12,88.0,1.0,1.0,0,0,0,0,0
4.59511985013459,16,2,8,1.0,1,1,1,5,72.0,3.0,3.0,0,0,0,1,0
4.382026634673881,16,1,2,1.0,1,1,0,26,98.0,1.0,1.0,0,0,1,0,0
3.688879454113936,16,1,2,1.5,1,1,0,57,89.0,1.0,1.0,0,0,0,1,0
4.90527477843843,0,2,4,1.0,3,1,1,73,99.0,1.0,1.0,0,0,1,0,0
5.003946305945459,0,2,6,1.0,1,1,0,14,100.0,3.0,3.0,0,0,0,1,0
5.003946305945459,0,2,4,1.0,1,1,0,4,100.0,2.0,2.0,0,0,0,1,0
4.653960350157523,0,1,3,1.0,1,1,0,40,88.0,1.0,2.0,0,0,0,1,0
4.31748811353631,0,1,2,1.0,1,1,0,1,100.0,1.0,1.0,0,0,0,1,0
5.220355825078324,0,2,4,1.0,1,1,0,248,96.0,2.0,3.0,0,0,1,0,0
4.382026634673881,0,1,2,1.0,3,1,1,17,96.0,1.0,1.0,0,0,0,1,0
4.8283137373023015,16,1,2,1.0,1,1,1,138,96.0,1.0,1.0,0,0,0,0,1
3.912023005428147,0,1,1,1.0,1,1,0,11,84.0,1.0,1.0,0,0,0,1,0
4.68213122712422,10,1,2,1.0,1,1,1,40,96.0,1.0,1.0,0,0,0,0,0
4.31748811353631,0,1,8,1.0,3,1,1,44,92.0,1.0,7.0,0,0,1,0,0
4.007333185232471,16,1,2,1.0,1,1,1,34,88.0,1.0,1.0,0,0,0,1,0
4.158883083359672,16,1,2,1.0,1,0,0,85,96.0,1.0,1.0,1,0,0,0,0
4.7791234931115305,0,1,2,1.0,4,1,0,3,100.0,1.0,1.0,0,0,0,1,0
4.68213122712422,0,2,2,1.0,1,1,0,31,94.0,1.0,1.0,0,0,0,1,0
3.688879454113936,0,1,2,1.0,1,1,0,9,100.0,3.0,1.0,0,0,0,1,0
5.857933154483459,16,2,4,1.0,1,1,0,3,93.0,2.0,2.0,0,0,1,0,0
4.8283137373023015,0,2,6,1.0,1,1,0,5,100.0,2.0,4.0,0,0,0,0,0
4.4998096703302615,0,2,3,1.0,3,1,0,1,100.0,1.0,1.0,0,0,1,0,0
4.7791234931115305,0,2,6,2.0,1,1,1,30,89.0,2.0,2.0,0,0,1,0,0
4.4998096703302615,0,2,2,1.0,4,1,0,4,100.0,0.0,1.0,0,0,1,0,0
4.7791234931115305,16,1,2,1.0,4,1,0,6,100.0,1.0,1.0,0,1,0,0,0
3.80666248977032,0,1,2,1.0,1,1,0,19,87.0,1.0,1.0,0,0,0,1,0
3.80666248977032,16,1,1,1.0,4,1,0,5,80.0,1.0,1.0,0,0,1,0,0
5.857933154483459,0,2,3,1.0,4,1,0,3,100.0,1.0,1.0,0,0,0,1,0
4.574710978503383,19,2,6,1.0,1,1,1,22,96.0,1.0,6.0,0,0,0,1,0
5.010635294096256,0,1,1,1.0,4,0,0,1,100.0,1.0,1.0,0,0,0,0,1
4.859812404361672,16,1,4,1.0,1,1,1,31,93.0,1.0,2.0,0,0,0,0,1
5.087596335232384,0,2,7,2.0,1,1,1,6,84.0,2.0,3.0,0,0,1,0,0
3.80666248977032,0,1,1,1.0,1,1,0,4,95.0,1.0,1.0,0,0,0,1,0
4.0943445622221,16,1,3,1.0,1,1,0,1,80.0,1.0,1.0,0,1,0,0,0
4.605170185988092,16,1,4,1.0,3,1,0,15,100.0,1.0,3.0,0,0,1,0,0
4.804021044733257,0,2,2,1.0,1,1,0,2,100.0,0.0,1.0,0,0,0,1,0
4.927253685157205,19,1,2,1.0,1,1,0,23,89.0,1.0,1.0,0,0,0,1,0
4.007333185232471,0,1,2,1.0,1,1,1,28,99.0,1.0,1.0,0,0,1,0,0
3.688879454113936,0,1,2,1.0,3,1,0,7,94.0,1.0,1.0,0,0,0,1,0
6.171700597410915,16,2,9,3.0,3,1,1,32,96.0,4.0,4.0,0,0,1,0,0
4.007333185232471,0,1,2,1.0,4,0,0,144,96.0,1.0,2.0,0,0,0,1,0
5.293304824724492,0,2,9,2.0,1,1,0,10,96.0,2.0,5.0,1,0,0,0,0
4.976733742420574,0,2,3,1.0,1,1,0,16,94.0,1.0,1.0,0,0,0,0,1
3.912023005428147,16,1,1,1.0,1,1,0,3,100.0,1.0,1.0,0,1,0,0,0
4.90527477843843,0,2,2,1.0,1,1,0,38,88.0,1.0,1.0,0,0,0,1,0
4.653960350157523,0,2,2,1.0,4,0,1,14,89.0,1.0,2.0,0,0,0,1,0
4.48863636973214,0,1,1,1.0,1,1,0,7,93.0,1.0,1.0,0,0,0,1,0
5.783825182329737,16,2,4,2.0,4,1,0,9,100.0,2.0,2.0,0,0,0,0,1
4.31748811353631,0,1,4,1.0,1,0,0,105,89.0,1.0,2.0,0,0,0,1,0
5.937536205082426,16,2,10,2.0,1,1,0,59,96.0,3.0,4.0,0,0,1,0,0
4.382026634673881,0,1,2,1.0,3,1,0,67,99.0,1.0,1.0,0,0,0,1,0
4.867534450455582,0,2,3,1.0,3,0,0,3,93.0,1.0,1.0,0,1,0,0,0
5.068904202220232,16,2,3,1.0,3,1,0,10,98.0,2.0,2.0,0,0,1,0,0
5.298317366548036,16,2,7,1.0,1,1,0,3,100.0,2.0,2.0,0,0,1,0,0
4.465908118654584,0,1,2,1.0,1,1,1,13,94.0,1.0,1.0,0,0,0,1,0
3.4657359027997265,15,0,4,1.5,1,1,0,1,100.0,1.0,4.0,0,0,0,1,0
5.598421958998375,0,2,6,1.5,3,0,0,1,100.0,1.0,3.0,0,0,0,0,1
3.871201010907892,16,1,3,1.0,1,1,1,18,100.0,1.0,2.0,0,0,0,1,0
3.49650756146648,16,1,1,1.0,4,1,0,9,80.0,1.0,1.0,0,0,0,1,0
5.6167710976665735,0,2,4,2.0,1,1,0,23,90.0,2.0,4.0,0,0,1,0,0
4.605170185988092,0,1,2,1.0,1,1,0,21,86.0,1.0,1.0,0,0,0,1,0
4.48863636973214,13,1,2,1.0,3,0,0,120,90.0,0.0,1.0,0,0,1,0,0
4.007333185232471,0,1,1,1.0,4,0,0,1,100.0,1.0,1.0,0,0,0,0,0
3.555348061489413,0,1,2,1.0,4,1,0,10,98.0,1.0,1.0,0,0,0,1,0
6.214608098422191,0,2,7,2.5,1,1,0,10,98.0,3.0,4.0,0,0,1,0,0
5.010635294096256,0,2,4,1.0,1,1,0,25,94.0,2.0,3.0,0,0,0,1,0
5.541263545158426,0,2,2,1.0,3,1,0,2,100.0,1.0,1.0,0,0,0,1,0
4.605170185988092,16,1,4,1.0,4,1,0,61,99.0,2.0,2.0,0,0,0,0,0
4.4998096703302615,0,2,2,1.0,3,1,0,87,88.0,0.0,1.0,0,0,0,0,1
4.605170185988092,10,1,1,1.0,1,1,0,13,95.0,1.0,1.0,0,0,0,1,0
5.575949103146316,10,2,5,1.0,1,1,0,15,97.0,2.0,3.0,0,0,0,1,0
4.897839799950911,0,1,2,1.0,1,1,0,206,91.0,1.0,1.0,0,0,0,1,0
5.48063892334199,16,2,6,2.0,3,1,0,26,100.0,2.0,3.0,0,0,1,0,0
4.219507705176107,0,2,2,1.0,1,1,0,8,100.0,0.0,1.0,0,0,1,0,0
3.6635616461296463,4,1,5,1.0,3,0,1,16,100.0,1.0,3.0,1,0,0,0,0
4.31748811353631,16,2,2,1.0,1,1,1,43,97.0,1.0,1.0,0,0,1,0,0
4.31748811353631,0,1,2,1.0,1,1,0,73,95.0,1.0,1.0,0,0,0,1,0
4.356708826689592,0,2,2,1.0,3,0,0,44,94.0,0.0,2.0,0,0,0,1,0
5.1647859739235145,10,2,3,1.0,1,1,0,3,100.0,1.0,1.0,0,0,0,0,1
4.976733742420574,19,2,4,1.0,1,1,0,104,98.0,0.0,2.0,0,0,1,0,0
5.010635294096256,0,2,5,1.0,1,1,0,22,95.0,3.0,3.0,0,0,0,1,0
4.442651256490317,0,2,2,1.0,4,0,0,16,93.0,1.0,1.0,0,0,0,1,0
4.59511985013459,0,2,3,1.0,1,1,1,47,92.0,1.0,2.0,0,0,1,0,0
4.382026634673881,0,1,2,1.0,4,1,0,1,100.0,1.0,1.0,0,0,0,1,0
5.1647859739235145,10,2,3,1.0,4,0,0,5,100.0,2.0,2.0,0,0,0,0,0
3.555348061489413,16,1,2,1.0,3,1,0,14,99.0,1.0,1.0,0,0,1,0,0
5.6167710976665735,0,2,6,1.0,3,1,1,186,97.0,2.0,4.0,0,0,0,0,1
5.272999558563747,16,2,5,2.0,1,1,0,3,100.0,3.0,3.0,0,0,1,0,0
4.859812404361672,0,2,4,1.0,1,1,0,15,87.0,1.0,1.0,0,0,0,1,0
4.59511985013459,0,2,2,1.0,4,1,0,2,100.0,1.0,1.0,0,0,0,1,0
4.4998096703302615,0,1,1,1.0,1,1,0,34,94.0,1.0,1.0,0,0,0,1,0
4.553876891600541,14,1,3,1.0,1,1,1,8,75.0,1.0,2.0,0,0,0,0,1
5.1647859739235145,0,2,3,1.0,4,1,0,11,94.0,1.0,2.0,0,0,0,1,0
4.584967478670572,16,1,2,1.0,1,1,1,36,96.0,1.0,1.0,0,0,1,0,0
4.867534450455582,16,2,6,1.5,3,0,0,2,90.0,3.0,3.0,0,0,0,1,0
4.31748811353631,0,1,2,1.0,3,1,0,167,89.0,1.0,1.0,0,0,0,1,0
4.605170185988092,0,1,2,1.0,4,1,1,12,98.0,1.0,1.0,0,0,1,0,0
4.382026634673881,0,1,2,1.0,4,1,1,9,100.0,1.0,1.0,0,0,0,1,0
5.978885764901122,16,2,6,3.0,1,1,0,48,99.0,3.0,3.0,0,0,0,0,1
4.8283137373023015,16,1,2,1.0,3,1,0,102,95.0,1.0,1.0,0,0,0,0,1
4.127134385045092,0,1,2,1.5,3,1,0,2,100.0,1.0,1.0,0,0,0,1,0
5.010635294096256,16,2,4,1.0,3,1,0,8,93.0,2.0,2.0,0,0,1,0,0
5.220355825078324,16,2,4,1.5,3,1,0,4,100.0,2.0,2.0,0,1,0,0,0
5.963579343618448,0,2,5,2.0,3,1,0,3,100.0,2.0,3.0,0,0,0,0,0
3.912023005428147,0,1,2,2.0,1,0,0,23,93.0,1.0,1.0,0,0,1,0,0
4.248495242049359,0,1,2,1.0,1,1,0,9,91.0,1.0,1.0,0,0,0,1,0
4.4067192472642525,0,2,2,1.0,1,1,0,51,93.0,0.0,2.0,0,0,1,0,0
4.4998096703302615,0,2,2,1.0,3,0,0,43,92.0,0.0,1.0,0,0,0,1,0
4.691347882229144,11,1,2,1.0,4,1,1,22,96.0,1.0,1.0,0,0,0,0,1
